location_id,lat,lon,crime_score,walk_score,NatWalkInd,light_count,light_score,safety_score,safe_label
sd_5764,32.95500000000001,-117.25800000000001,0.8941806110697107,0.3660714284882015,,0,0.0,0.5386081626569057,1
sd_5765,32.95500000000001,-117.25250000000001,0.9656527335546372,0.42857142849489793,9.0,5,0.027777777777777776,0.5969136683454875,1
sd_5766,32.95500000000001,-117.24700000000001,0.9656527335546372,0.42857142849489793,9.0,8,0.044444444444444446,0.6010803350121542,1
sd_5767,32.95500000000001,-117.24150000000002,0.7788767698665402,0.45535714277582906,9.5,21,0.11666666666666667,0.5324443372938941,0
sd_5768,32.95500000000001,-117.23600000000002,0.7788767698665402,0.473214285611926,9.833333333,19,0.10555555555555556,0.5341308452251405,0
sd_5769,32.95500000000001,-117.23050000000002,0.7788767698665402,0.3660714284882015,,6,0.03333333333333333,0.48928957538865386,0
sd_5770,32.95500000000001,-117.22500000000002,0.7788767698665402,0.3660714284882015,,17,0.09444444444444444,0.5045673531664316,0
sd_5771,32.95500000000001,-117.21950000000002,0.7788767698665402,0.4642857142206632,9.666666667,18,0.1,0.530509813488436,0
sd_5772,32.95500000000001,-117.21400000000003,0.7788767698665402,0.4642857142206632,9.666666667,9,0.05,0.5180098134884359,0
sd_5773,32.95500000000001,-117.20850000000003,0.7788767698665402,0.3660714284882015,,20,0.1111111111111111,0.5087340198330983,0
sd_5774,32.95500000000001,-117.20300000000003,0.7788767698665402,0.3660714284882015,,7,0.03888888888888889,0.49067846427754275,0
sd_5775,32.95500000000001,-117.19750000000003,0.7788767698665402,0.3660714284882015,,10,0.05555555555555555,0.4948451309442094,0
sd_5776,32.95500000000001,-117.19200000000004,0.7788767698665402,0.3660714284882015,,4,0.022222222222222223,0.48651179761087604,0
sd_5777,32.95500000000001,-117.18650000000004,0.7788767698665402,0.3660714284882015,,0,0.0,0.4809562420553205,0
sd_5778,32.95500000000001,-117.18100000000004,0.7788767698665402,0.3660714284882015,,0,0.0,0.4809562420553205,0
sd_5779,32.95500000000001,-117.17550000000004,0.7788767698665402,0.3660714284882015,,0,0.0,0.4809562420553205,0
sd_5780,32.95500000000001,-117.17000000000004,0.7788767698665402,0.3660714284882015,,0,0.0,0.4809562420553205,0
sd_5781,32.95500000000001,-117.16450000000005,0.824181965991464,0.3660714284882015,,0,0.0,0.5036088401177824,0
sd_5782,32.95500000000001,-117.15900000000005,0.824181965991464,0.3660714284882015,,0,0.0,0.5036088401177824,0
sd_5783,32.95500000000001,-117.15350000000005,0.824181965991464,0.3660714284882015,,1,0.005555555555555556,0.5049977290066713,0
sd_5784,32.95500000000001,-117.14800000000005,0.9717160084005149,0.3660714284882015,,10,0.05555555555555555,0.5912647502111966,1
sd_5785,32.95500000000001,-117.14250000000006,0.824181965991464,0.33035714281600764,7.166666667,9,0.05,0.5071802686997339,0
sd_5786,32.95500000000001,-117.13700000000006,0.824181965991464,0.33035714281600764,7.166666667,11,0.06111111111111111,0.5099580464775116,0
sd_5787,32.95500000000001,-117.13150000000006,0.824181965991464,0.33035714281600764,7.166666667,8,0.044444444444444446,0.505791379810845,0
sd_5788,32.95500000000001,-117.12600000000006,0.824181965991464,0.6071428568558673,12.33333333,2,0.011111111111111112,0.5666544749874766,1
sd_5789,32.95500000000001,-117.12050000000006,0.824181965991464,0.4374999999397321,9.166666667,10,0.05555555555555555,0.5353548718695539,0
sd_5790,32.95500000000001,-117.11500000000007,0.824181965991464,0.4374999999397321,9.166666667,30,0.16666666666666666,0.5631326496473317,1
sd_5791,32.95500000000001,-117.10950000000007,0.824181965991464,0.49107142866230863,10.16666667,10,0.05555555555555555,0.548747729050198,1
sd_5792,32.95500000000001,-117.10400000000007,0.824181965991464,0.5357142856186224,11.0,6,0.03333333333333333,0.5543528877337209,1
sd_5793,32.95500000000001,-117.09850000000007,0.961587968294831,0.38392857137786984,8.166666667,5,0.027777777777777776,0.5837205714363274,1
sd_5794,32.95500000000001,-117.09300000000007,0.961587968294831,0.38392857137786984,8.166666667,13,0.07222222222222222,0.5948316825474386,1
sd_5795,32.95500000000001,-117.08750000000008,0.961587968294831,0.3660714284882015,,1,0.005555555555555556,0.5737007301583548,1
sd_5796,32.95500000000001,-117.08200000000008,0.8941806110697107,0.6874999996986607,13.83333333,0,0.0,0.6189653054595206,1
sd_5797,32.95500000000001,-117.07650000000008,0.8941806110697107,0.6874999996986607,13.83333333,0,0.0,0.6189653054595206,1
sd_5798,32.95500000000001,-117.07100000000008,0.8941806110697107,0.6874999996986607,13.83333333,0,0.0,0.6189653054595206,1
sd_5799,32.95500000000001,-117.06550000000009,0.8941806110697107,0.6874999996986607,13.83333333,0,0.0,0.6189653054595206,1
